
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado           PID
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:55875  [2606:4700:20::681a:2ba]:443  ESTABLISHED     268
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:56906  [2600:1901:1:7c5::]:443  ESTABLISHED     8232
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:58097  [2600:1901:1:365::]:443  ESTABLISHED     8232
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:59363  [2001:4c28:1:430:82:145:216:59]:443  ESTABLISHED     268
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:59648  [2800:3f0:4003:c03::bc]:5228  ESTABLISHED     268
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:59992  [2600:1901:1:510::]:443  ESTABLISHED     8232
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:60727  [2600:1901:1:7c5::]:443  ESTABLISHED     8232
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:60841  [2800:3f0:4003:c02::bc]:5228  ESTABLISHED     8232
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:60980  [2603:1030:210:f::]:443  ESTABLISHED     5984
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:61188  [2800:3f0:4001:81a::200a]:443  TIME_WAIT       0
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:61189  [2800:3f0:4001:816::200a]:443  TIME_WAIT       0
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:61190  [2800:3f0:4001:81a::200a]:443  TIME_WAIT       0
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:62639  [2603:1030:210:f::2]:443  ESTABLISHED     20648
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:62728  [2600:1901:1:7c5::]:443  ESTABLISHED     8232
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64105  [2600:1419:6200:3b::214:8bb3]:443  CLOSE_WAIT      9772
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64106  [2600:1419:6a00:e::211:2f65]:443  CLOSE_WAIT      9772
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64107  [2600:1419:2a00:4::5f65:1994]:443  CLOSE_WAIT      9772
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64108  [2600:1419:2a00:4::5f65:1994]:443  CLOSE_WAIT      9772
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64109  [2600:1419:6a00:e::211:2f6c]:443  CLOSE_WAIT      9772
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64110  [2600:1419:6a00:e::211:2f6c]:443  CLOSE_WAIT      9772
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64111  [2600:1419:6a00:e::211:2f6c]:443  CLOSE_WAIT      9772
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64112  [2600:1419:6a00:e::211:2f6c]:443  CLOSE_WAIT      9772
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64180  [2a06:98c1:58::175]:443  ESTABLISHED     8232
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64499  [2620:117:c004:320:107:167:96:31]:443  CLOSE_WAIT      268
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:64935  [2600:1901:1:510::]:443  ESTABLISHED     1372
  UDP    0.0.0.0:1900           *:*                                    1372
  UDP    0.0.0.0:5050           *:*                                    6328
  UDP    0.0.0.0:5353           *:*                                    1372
  UDP    0.0.0.0:5353           *:*                                    8804
